station,adresse,longitude,latitude
DUROC,65 BOULEVARD DES INVALIDES - 75107,2.316433278,48.84730704
Vaneau,97 rue de Sevres - 75107,2.321239882,48.84870085
Sevres,Square Boucicaut - 75107,2.326890788,48.85157747
Mabillon,Place d Arcadie - 75106,2.335143719,48.85284513
Odeon,Carrefour de l'Od¨¦on - 75106,2.338780003,48.85219805
Cite,Place Louis Lepine - 75104,2.34620293,48.85568485
Chatelet-Les-Halles,Place Marguerite de Navarre - 75101,2.346844132,48.86146371
LOUVRE-RIVOLI,16 RUE DU LOUVRE - 75101,2.3411235,48.8608027
Palais-Royal,Terre-plein face au 93 rue de Rivoli - 75101,2.3376225,48.8605991
Tuileries,210 rue de Rivoli - 75101,2.329094954,48.86478016
Concorde,4 RUE ROYALE - 75108,2.322623676,48.86729601
ASSEMBLEE-NATIONALE,241 BOULEVARD SAINT-GERMAIN - 75107,2.320037233,48.86154374
SOLFERINO-BELLECHASSE,256 BOULEVARD SAINT-GERMAIN - 75107,2.323497939,48.85826378
Rue-du-Bac,Terre-plein face au 2 boulevard Raspail - 75107,2.325704994,48.85589134
Varenne,13 boulevard des Invalides - 75107,2.314754365,48.85639307
INVALIDE,SQUAI D ORSAY - 75107,2.314411061,48.86275609
SAINT-FRANCOIS-XAVIER,18 AVENUE DE VILLARS - 75107,2.313789509,48.85160257
