station,adresse,longitude,latitude
 DUROC,65 BOULEVARD DES INVALIDES - 75107,2.31643327790118,48.8473070444776
 Vaneau,97 rue de Sevres - 75107,2.32123988193857,48.84870084962
 Sevres,Square Boucicaut - 75107,2.32689078834288,48.8515774689962
 Mabillon,Place d Arcadie - 75106,2.33514371851606,48.8528451336544
 Odeon,Carrefour de l Odéon - 75106,2.33878000304498,48.8521980452304
 Cite,Place Louis Lepine - 75104,2.34620292952871,48.8556848502862
 Chatelet-Les Halles,Place Marguerite de Navarre - 75101,2.34684413160301,48.8614637105586
 LOUVRE - RIVOLI,16 RUE DU LOUVRE - 75101,2.3411235,48.8608027
 Palais-Royal,Terre-plein face au 93 rue de Rivoli - 75101,2.33762249999995,48.8605990999999
 Tuileries,210 rue de Rivoli - 75101,2.32909495442942,48.8647801625
 Concorde,4 RUE ROYALE - 75108,2.32262367629409,48.8672960055408
 ASSEMBLEE NATIONALE,241 BOULEVARD SAINT-GERMAIN - 75107,2.320037233172,48.8615437392047
 SOLFERINO- BELLECHASSE,256 BOULEVARD SAINT-GERMAIN - 75107,2.32349793853878,48.8582637848042
 Rue du Bac,Terre-plein face au 2 boulevard Raspail - 75107,2.32570499389931,48.8558913378155
 Varenne,13 boulevard des Invalides - 75107,2.31475436481028,48.8563930691984
 INVALIDE,SQUAI D ORSAY - 75107,2.31441106124636,48.8627560912755
 SAINT-FRANCOIS-XAVIER,18 AVENUE DE VILLARS - 75107,2.31378950871346,48.8516025709589
